,filepath,numberEmpty,nonWhiteFraction,possibleShapes,possibleImages,nonEmptySections
0,./DANE/train_set/email\210e6acd-437f-4d71-bc40-66654589ed25.tiff,0.06329113924050633,0.008042440318302388,0,0,0.5
1,./DANE/train_set/email\21558cb3-3f81-45a9-84ed-4c0d88fff438.tiff,0.06870229007633588,0.028557692307692308,0,0,0.75
2,./DANE/train_set/email\21ffc525-2240-4748-bf15-628f4ed3bf39.tiff,0.05106382978723404,0.046069201995012465,1,0,1.0
3,./DANE/train_set/email\2276917d-0604-4e53-8d46-11f3623ab829.tiff,0.13756613756613756,0.20225729442970822,1,1,0.75
4,./DANE/train_set/email\23052ff9-c04a-4541-91b9-22c27d671753.tiff,0.03333333333333333,0.011551745635910224,0,0,0.5
5,./DANE/train_set/email\23220239-5333-4d57-a229-67ad1ae8873a.tiff,0.1015625,0.020165119363395226,0,0,1.0
6,./DANE/train_set/email\23fd58d6-e0e5-4d7d-b8de-affae502f1ad.tiff,0.07092198581560284,0.022555702917771883,0,0,0.5
7,./DANE/train_set/email\24bf3c41-08c0-4051-ae43-08798fa01283.tiff,0.03571428571428571,0.01709912718204489,0,0,0.5
8,./DANE/train_set/email\25809a0f-37e1-4c79-b958-9fa96ce21ab6.tiff,0.07547169811320754,0.01861870026525199,0,0,1.0
9,./DANE/train_set/email\25a6839b-44ad-4eb1-867c-15f936cb71a8.tiff,0.0467706013363029,0.09384946949602122,3,0,1.0
10,./DANE/train_set/email\25dc9277-7bba-4d2a-942b-35c7f2c761fd.tiff,0.11363636363636363,0.014339522546419098,0,0,0.75
11,./DANE/train_set/email\25f6c56b-376a-46b2-a9f7-cb2fee80e43e.tiff,0.05442176870748299,0.01451392572944297,0,0,0.5
12,./DANE/train_set/email\2604ea77-1f3d-4cbe-bd90-f5a6292d9745.tiff,0.03968253968253968,0.013982095490716181,0,0,0.5
13,./DANE/train_set/email\2614214f-c2f3-473d-8d82-fba6b12d47bd.tiff,0.05060240963855422,0.043815649867374004,0,0,1.0
14,./DANE/train_set/email\268c9a1a-f27f-436d-925f-34a0c77f874c.tiff,0.125,0.0020550397877984084,0,0,0.5
15,./DANE/train_set/email\26bf51cb-a3f2-4e0c-926e-64d88c9d705f.tiff,0.038461538461538464,0.013751989389920425,0,0,0.75
16,./DANE/train_set/email\26ee808b-6336-4cdd-ac15-11adbdd5873e.tiff,0.12121212121212122,0.003318965517241379,0,0,0.5
17,./DANE/train_set/email\27731766-ba98-4d31-b318-50288973c39e.tiff,0.09803921568627451,0.004064323607427056,0,0,0.5
18,./DANE/train_set/email\27deb736-65c2-4faf-9c11-dcf8c2479733.tiff,0.0851063829787234,0.00443501326259947,0,0,0.5
19,./DANE/train_set/email\27e17bdb-772d-4b3f-8c8f-45fdb0921586.tiff,0.037914691943127965,0.024234084880636605,0,0,1.0
20,./DANE/train_set/email\280af6a6-a5e7-4698-9bd4-fd21a0495c67.tiff,0.030864197530864196,0.010881962864721486,0,0,0.5
21,./DANE/train_set/email\288892ff-36ef-418f-b62e-0cf08f1d830a.tiff,0.0898876404494382,0.011111405835543767,0,0,0.5
22,./DANE/train_set/email\2946bc0b-9127-4b2d-8ad4-e66cfbdf8bea.tiff,0.1206896551724138,0.005993368700265252,0,0,0.75
23,./DANE/train_set/email\2a685f49-ada6-4fc4-ad3f-a2cf4e51fd40.tiff,0.11702127659574468,0.007216180371352785,0,0,0.5
24,./DANE/train_set/email\2a68cf60-ff31-4bc2-9ef4-0a72b2e0256b.tiff,0.08333333333333333,0.007539124668435013,0,0,0.5
25,./DANE/train_set/email\2b32d906-12e4-4267-b06d-d4af71b80994.tiff,0.04716981132075472,0.007741379310344828,0,0,0.5
26,./DANE/train_set/email\2d01098d-1f0e-43d8-a8b3-f3e26cada59c.tiff,0.07480314960629922,0.028121352785145888,1,0,1.0
