,filepath,numberEmpty,nonWhiteFraction,possibleShapes,possibleImages,nonEmptySections
0,./DANE/test_set/e96c52ac-0144-4e5a-aae3-d088193a6f82.tiff,0.1328125,0.30105106100795753,2,2,0.75
1,./DANE/test_set/e96e5658-fcd8-4655-9af4-b6aa02dbc09e.tiff,0.20233463035019456,0.20757559681697613,1,1,1.0
2,./DANE/test_set/e9871fe6-ae79-4293-b061-8960c20ca745.tiff,0.1032258064516129,0.05885886075949367,2,2,1.0
3,./DANE/test_set/e98bb70c-91de-4c70-b622-9cd2d2c72c60.tiff,0.0379746835443038,0.0673103448275862,0,0,1.0
4,./DANE/test_set/e9a15365-ea4b-451c-8ccd-aa399adc3d6e.tiff,0.07075471698113207,0.09229080310880829,0,0,1.0
5,./DANE/test_set/e9c30952-6504-4f09-9fce-f48ad88fe6d6.tiff,0.00911854103343465,0.07859055118110236,0,0,1.0
6,./DANE/test_set/e9d0cbe9-5d5d-4007-82c0-c09308e0e080.jpg,0.0790273556231003,0.7213560185185185,1,1,1.0
7,./DANE/test_set/e9f38571-fad9-4680-93d1-18ad53ab52d0.tiff,0.09375,0.39514389920424403,7,6,0.75
8,./DANE/test_set/e9fdc30e-99bd-4df8-ac68-adab008dfc88.jpg,0.10653753026634383,0.5488736111111111,2,1,1.0
9,./DANE/test_set/ea1b97e6-170c-41f6-a2d6-763331116b16.tiff,0.2,0.6990451127819549,1,1,0.25
10,./DANE/test_set/ea22df69-ad36-4e52-aee9-75f5d2f820f8.tiff,0.04061895551257253,0.0435079575596817,0,0,1.0
11,./DANE/test_set/ea2bd2f3-9509-440a-9e5b-290cc2ebab3c.tiff,0.04234527687296417,0.104002574002574,1,1,0.6666666666666666
12,./DANE/test_set/ea48f91c-bedf-4c91-8074-7b7cc096a79c.tiff,0.13872832369942195,0.23825425950196594,1,1,0.6666666666666666
13,./DANE/test_set/ea7a75cc-f926-4e7e-8a53-89f9fd463670.tiff,0.18867924528301888,0.01985212201591512,0,0,0.5
14,./DANE/test_set/ea8483c9-71d7-40f0-8508-58e6033c7944.jpg,0.14225941422594143,0.4606402777777778,1,1,0.75
15,./DANE/test_set/ea8d8dc0-4166-4b5c-82b1-8031232a7849.tiff,0.17721518987341772,0.023667953667953667,0,0,0.6666666666666666
16,./DANE/test_set/eac32b0f-1d9c-4098-afad-94a5ac77c96e.jpg,0.2,0.06207175925925926,0,0,0.25
17,./DANE/test_set/eadd3ccd-f24d-495a-805f-e792edfae304.jpg,0.11009174311926606,0.031904166666666664,0,0,1.0
18,./DANE/test_set/eaea8761-2c66-446e-9e7b-29a939f7418f.jpg,0.088,0.03209768518518519,0,0,1.0
19,./DANE/test_set/eaf1ccf3-4587-4033-9044-2c21cf37902d.tiff,0.04567699836867863,0.12199270557029178,2,1,1.0
20,./DANE/test_set/eb12cdc3-6031-4624-b31f-42084a906856.jpg,0.08637236084452975,0.5689412037037037,2,1,1.0
21,./DANE/test_set/eb13dd0e-7269-4a01-a0b5-2b61456ea53b.tiff,0.2222222222222222,0.1689502652519894,4,4,0.5
22,./DANE/test_set/eb174676-650c-41a0-af51-f17e0a32bbf8.tiff,0.13725490196078433,0.14330106100795756,3,3,0.75
23,./DANE/test_set/eb1debbf-fc9b-43c8-a603-22e4b3f40409.tiff,0.04310344827586207,0.014083554376657825,0,0,0.5
24,./DANE/test_set/eb2705bc-3267-4e07-a596-ed92f48aa680.tiff,0.08035714285714286,0.026522546419098143,1,0,1.0
25,./DANE/test_set/eb453fd7-9ceb-45be-bdc0-0f1d4c6bee93.tiff,0.07191780821917808,0.31483620689655173,3,3,1.0
26,./DANE/test_set/eb457635-90b4-4b35-9aee-4dba0f8af8e7.tiff,0.078125,0.04569496021220159,2,1,1.0
27,./DANE/test_set/eb54a375-ea77-465a-90a0-9f795bcfd351.tiff,0.21052631578947367,0.0012745358090185677,0,0,0.25
28,./DANE/test_set/eb5e83ed-e4b7-41a2-bf96-1e73c67264ac.tiff,0.015037593984962405,0.12788726790450927,0,0,1.0
29,./DANE/test_set/eb632687-0791-481d-a662-b47231f577d9.tiff,0.07462686567164178,0.014442970822281168,0,0,0.75
30,./DANE/test_set/eb665418-5c7e-4f29-800a-ef5cbdfc4956.tiff,0.03283582089552239,0.06055363984674329,1,1,0.6666666666666666
31,./DANE/test_set/eb74a064-0c5a-4955-84ce-d976a2f4f292.tiff,0.06847826086956521,0.0921525198938992,0,0,1.0
32,./DANE/test_set/eb8893c7-5c97-4f83-a475-0d57b7d77fb4.jpg,0.2,0.055283796296296296,0,0,0.0
33,./DANE/test_set/ebc6e84a-1f66-41ba-b804-de16ea171fde.tiff,0.112,0.09158997429305912,4,4,1.0
34,./DANE/test_set/ebd061a4-1bc5-4e39-88e7-b7dfe2b16f51.tiff,0.05454545454545454,0.009671087533156498,0,0,0.5
35,./DANE/test_set/ebd37cc3-383b-4659-a5a1-aa34d726d973.jpg,0.2,0.02273425925925926,0,0,0.75
36,./DANE/test_set/ebe172dc-0286-4fd2-a958-b66f649cdd6a.tiff,0.14958448753462603,0.07016151866151867,3,3,0.6666666666666666
37,./DANE/test_set/ebe365f0-ec5f-4c44-b520-dd17541bdeec.tiff,0.07729468599033816,0.02891786179921773,0,0,0.6666666666666666
38,./DANE/test_set/ebe874fa-e9ae-4bb8-bb0c-64d115462ec0.tiff,0.10140845070422536,0.04975289575289575,0,0,0.6666666666666666
39,./DANE/test_set/ebee9967-047c-4e1e-99c9-7a52f895baf0.jpg,0.19090909090909092,0.49582453703703705,2,1,1.0
40,./DANE/test_set/ec079c84-c08e-4cb0-bdfe-c64f707340e4.tiff,0.10512129380053908,0.024909814323607428,0,0,1.0
41,./DANE/test_set/ec0f01ca-6f2b-435f-98a7-b1d329236c10.tiff,0.0570409982174688,0.12495448717948718,2,1,1.0
42,./DANE/test_set/ec10ef3a-2412-408a-b76b-8608958c750e.jpg,0.10265486725663717,0.581650462962963,2,1,1.0
43,./DANE/test_set/ec11d2a5-5beb-43a8-a559-73ff4526f665.tiff,0.041666666666666664,0.0446684350132626,0,0,1.0
44,./DANE/test_set/ec1d177b-51df-4119-aac2-8aa0ed196632.tiff,0.11009174311926606,0.07475441919191919,6,0,1.0
